"filename", "language", "pip requirements", "Python", "JavaScript", "PostCSS", "HTML", "Markdown", "Ini", "MS SQL", "Docker", "comment", "blank", "total"
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\components\buttons-badges.css", "PostCSS", 0, 0, 0, 112, 0, 0, 0, 0, 0, 4, 25, 141
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\components\dashboard.css", "PostCSS", 0, 0, 0, 247, 0, 0, 0, 0, 0, 14, 47, 308
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\components\navbar.css", "PostCSS", 0, 0, 0, 210, 0, 0, 0, 0, 0, 10, 33, 253
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\components\sticky-stack.css", "PostCSS", 0, 0, 0, 48, 0, 0, 0, 0, 0, 11, 11, 70
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\components\student-dashboard.css", "PostCSS", 0, 0, 0, 483, 0, 0, 0, 0, 0, 7, 95, 585
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\components\student-details.css", "PostCSS", 0, 0, 0, 303, 0, 0, 0, 0, 0, 8, 60, 371
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\components\student-enrollments.css", "PostCSS", 0, 0, 0, 290, 0, 0, 0, 0, 0, 11, 51, 352
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\components\student-navbar.css", "PostCSS", 0, 0, 0, 162, 0, 0, 0, 0, 0, 15, 33, 210
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\email-forms.css", "PostCSS", 0, 0, 0, 131, 0, 0, 0, 0, 0, 9, 24, 164
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\email-management.css", "PostCSS", 0, 0, 0, 161, 0, 0, 0, 0, 0, 9, 36, 206
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\main.css", "PostCSS", 0, 0, 0, 164, 0, 0, 0, 0, 0, 21, 24, 209
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\pages\landing.css", "PostCSS", 0, 0, 0, 690, 0, 0, 0, 0, 0, 30, 134, 854
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\utilities.css", "PostCSS", 0, 0, 0, 171, 0, 0, 0, 0, 0, 17, 42, 230
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\js\components\calendar\calendar-admin.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, -3, -2, 0
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\js\main.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 3, 23
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\bases\nonstudents.html", "HTML", 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 29, 213
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\components\calendar_base.html", "HTML", 0, 0, 0, 0, 401, 0, 0, 0, 0, 2, 69, 472
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\components\flash_messages.html", "HTML", 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 15, 144
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\admins\announcements\index.html", "HTML", 0, 0, 0, 0, 320, 0, 0, 0, 0, 8, 35, 363
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\admins\components\mobile_calendar_admin.html", "HTML", 0, 0, 0, 0, 473, 0, 0, 0, 0, 1, 67, 541
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\admins\components\navbar.html", "HTML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 5
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\admins\courses\index.html", "HTML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 1, 6
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\admins\courses\view_instance.html", "HTML", 0, 0, 0, 0, 179, 0, 0, 0, 0, 6, 20, 205
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\admins\dashboard\components\quick_actions.html", "HTML", 0, 0, 0, 0, 283, 0, 0, 0, 0, 2, 39, 324
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\admins\dashboard\components\stats_cards.html", "HTML", 0, 0, 0, 0, 301, 0, 0, 0, 0, 5, 35, 341
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\admins\dashboard\index.html", "HTML", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 13, 106
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\admins\enrollments\create.html", "HTML", 0, 0, 0, 0, 218, 0, 0, 0, 0, 9, 28, 255
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\admins\logs\index.html", "HTML", 0, 0, 0, 0, 360, 0, 0, 0, 0, 6, 16, 382
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\admins\students\details.html", "HTML", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 108
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\admins\students\details_backup.html", "HTML", 0, 0, 0, 0, 851, 0, 0, 0, 0, 3, 86, 940
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\admins\students\index.html", "HTML", 0, 0, 0, 0, 442, 0, 0, 0, 0, 0, 74, 516
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\components\calendar_editable.html", "HTML", 0, 0, 0, 0, -727, 0, 0, 0, 0, -3, -116, -846
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\components\mobile_calendar.html", "HTML", 0, 0, 0, 0, 955, 0, 0, 0, 0, 5, 160, 1120
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\components\nav\role_switcher.html", "HTML", 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 18, 156
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\flask_mail\form.html", "HTML", 0, 0, 0, 0, 348, 0, 0, 0, 0, 7, 56, 411
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\flask_mail\management.html", "HTML", 0, 0, 0, 0, 144, 0, 0, 0, 0, 6, 13, 163
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\flask_mail\preview.html", "HTML", 0, 0, 0, 0, 340, 0, 0, 0, 0, 10, 56, 406
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\instructors\components\mobile_calendar_instructor.html", "HTML", 0, 0, 0, 0, 418, 0, 0, 0, 0, 2, 70, 490
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\instructors\components\navbar.html", "HTML", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\students\components\calendar.html", "HTML", 0, 0, 0, 0, 334, 0, 0, 0, 0, 4, 46, 384
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\students\components\mobile_calendar_student.html", "HTML", 0, 0, 0, 0, 429, 0, 0, 0, 0, 2, 72, 503
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\students\components\navbar.html", "HTML", 0, 0, 0, 0, 39, 0, 0, 0, 0, 3, 5, 47
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\students\dashboard\index.html", "HTML", 0, 0, 0, 0, 97, 0, 0, 0, 0, 2, 8, 107
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\students\enrollments\index.html", "HTML", 0, 0, 0, 0, 43, 0, 0, 0, 0, 3, 5, 51
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\students\settings\index.html", "HTML", 0, 0, 0, 0, 51, 0, 0, 0, 0, 5, 7, 63
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\students\settings\tabs\account.html", "HTML", 0, 0, 0, 0, 62, 0, 0, 0, 0, 1, 2, 65
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\students\settings\tabs\password.html", "HTML", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\students\settings\tabs\profile.html", "HTML", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 5, 40
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\superusers\components\mobile_calendar_superuser.html", "HTML", 0, 0, 0, 0, 501, 0, 0, 0, 0, 3, 85, 589
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\superusers\components\navbar.html", "HTML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 3
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\superusers\course_templates\index.html", "HTML", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 13, 66
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\superusers\settings\index.html", "HTML", 0, 0, 0, 0, 109, 0, 0, 0, 0, 3, 13, 125
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\superusers\settings\tabs\email.html", "HTML", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 11, 111
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\superusers\users\add_to_role.html", "HTML", 0, 0, 0, 0, 99, 0, 0, 0, 0, 1, 7, 107
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\superusers\users\index.html", "HTML", 0, 0, 0, 0, 86, 0, 0, 0, 0, -1, 10, 95
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\private\superusers\users\manage_roles.html", "HTML", 0, 0, 0, 0, 136, 0, 0, 0, 0, 4, 8, 148
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\public\auth\dev.html", "HTML", 0, 0, 0, 0, 468, 0, 0, 0, 0, 4, 69, 541
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\public\auth\loginReg.html", "HTML", 0, 0, 0, 0, 450, 0, 0, 0, 0, 1, 79, 530
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\public\components\calendar.html", "HTML", 0, 0, 0, 0, 244, 0, 0, 0, 0, 1, 32, 277
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\public\components\navbar.html", "HTML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\public\landing\components\FAQ.html", "HTML", 0, 0, 0, 0, 191, 0, 0, 0, 0, 14, 14, 219
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\public\landing\components\banner.html", "HTML", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 9, 75
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\public\landing\components\hero.html", "HTML", 0, 0, 0, 0, 619, 0, 0, 0, 0, 9, 91, 719
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\public\landing\components\how_it_works.html", "HTML", 0, 0, 0, 0, 142, 0, 0, 0, 0, 10, 9, 161
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\public\landing\components\social_proof.html", "HTML", 0, 0, 0, 0, 539, 0, 0, 0, 0, 5, 55, 599
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\templates\public\landing\index.html", "HTML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\utils\custom_decorators.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\utils\encryption.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 0, 29, 12, 69
"Total", "-", 3, 3623, 23, 4035, 10914, 1308, 38, 3, 0, 1806, 3544, 25297
